id,name,address,city,state,zip,lat,lon
30,Dunkin' Donuts,222 Broadway,Cambridge,MA,02139,42.36653,-71.094
31,Dunkin' Donuts,2480 Massachusetts Ave,Cambridge,MA,02140,42.398865,-71.13211
32,Dunkin' Donuts,5 3rd St,Cambridge,MA,02141,42.37242,-71.07953
33,Dunkin' Donuts,5 Cambridgepark Dr # 3,Cambridge,MA,02140,42.39465,-71.14183
34,Dunkin' Donuts,517 Concord Ave,Cambridge,MA,02138,42.387127,-71.1415
35,Dunkin' Donuts,61 Church St,Cambridge,MA,02138,42.37413,-71.12106
36,Dunkin' Donuts,616 Massachusetts Ave,Cambridge,MA,02139,42.365105,-71.10325
37,Dunkin' Donuts,65 Jfk St,Cambridge,MA,02138,42.371624,-71.12099
38,Dunkin' Donuts,808 Memorial Dr,Cambridge,MA,02139,42.36088,-71.11589
39,Dunkin' Donuts,84 Massachusetts Ave # W 20,Cambridge,MA,02139,42.359676,-71.0942
40,Dunkin' Donuts,Harvard Mbta Sta,Cambridge,MA,02163,42.371624,-71.12099
41,Dwell Time,364 Broadway,Cambridge,MA,02139,42.370617,-71.10432
42,Expresso Cafe,201 Broadway,Cambridge,MA,02139,42.366386,-71.093605
43,Fort Point Tea Co,26 Alewife Brook Pkwy,Cambridge,MA,02140,42.402267,-71.13474
44,Harvard Dining Svc,12 Quincy St,Cambridge,MA,02138,42.37314,-71.114914
45,Hub Donuts Inc,199 Alewife Brook Pkwy,Cambridge,MA,02138,42.38961,-71.14265
46,Hub Donuts Inc,517 Concord Ave,Cambridge,MA,02138,42.387127,-71.1415
47,Kendall Kitchen,201 Broadway # 25,Cambridge,MA,02139,42.366386,-71.093605
48,LA Luna Caffe,403 Massachusetts Ave,Cambridge,MA,02139,42.36359,-71.10064
49,Mariposa Bakery,424 Massachusetts Ave,Cambridge,MA,02139,42.363686,-71.10082
50,Museum Market,12 Museum Way,Cambridge,MA,02141,42.36886,-71.07228
51,Sebastians,7 Cambridge Ctr,Cambridge,MA,02142,42.362997,-71.088774
52,Darwin's Limited,245 Massachusetts Ave,Cambridge,MA,02139,42.361603,-71.097305
53,Peet's Coffee & Tea,100 Mount Auburn St,Cambridge,MA,02138,42.3728,-71.120735
54,Plaza Catering,157 6th St,Cambridge,MA,02142,42.366653,-71.08598
55,Qafe,58 Plympton St,Cambridge,MA,02138,42.371063,-71.11726
56,R J Gourmet,441 Cambridge St,Cambridge,MA,02141,42.371494,-71.0835
57,Simon's Too,983 Massachusetts Ave,Cambridge,MA,02138,42.369167,-71.110695
58,Singa Bella Cafe,2401 Massachusetts Ave,Cambridge,MA,02140,42.397156,-71.13006
59,Starbucks,100 Cambridgeside Pl # 153,Cambridge,MA,02141,42.367463,-71.076121
60,Starbucks,114 Bishop Richard Allen Dr,Cambridge,MA,02139,42.36617,-71.10289
61,Starbucks,1384 Massachusetts Ave,Cambridge,MA,02138,42.373714,-71.118866
62,Starbucks,6 Cambridge Ctr,Cambridge,MA,02142,42.363893,-71.087937
63,Starbucks,220 Alewife Brook Pkwy,Cambridge,MA,02138,42.38805,-71.14286
64,Starbucks,31 Church St,Cambridge,MA,02138,42.374393,-71.12038
65,Starbucks,36 Jfk St # 10,Cambridge,MA,02138,42.37278,-71.11998
66,Starbucks,468 Broadway # 1,Cambridge,MA,02138,42.374096,-71.11313
67,Starbucks,2 Cambridge Ctr,Cambridge,MA,02142,42.3629,-71.08598
68,Starbucks,655 Massachusetts Ave,Cambridge,MA,02139,42.36553,-71.10389
80,Starbucks,1662 Massachusetts Ave,Cambridge,MA,02138,42.381899,-71.120053
69,Starbucks,750 Memorial Dr,Cambridge,MA,02139,42.35772,-71.115295
70,Sunset Cafe Inc,851 Cambridge St,Cambridge,MA,02141,42.372467,-71.09108
71,Sweet Touch Cafe,241 Cambridge St,Cambridge,MA,02141,42.371063,-71.080154
72,Tasin & Coffee Express,766 Cambridge St,Cambridge,MA,02141,42.372257,-71.08952
73,Tealuxe,0 Brattle St,Cambridge,MA,02138,42.373253,-71.120834
74,Teavana,100 Cambridgeside Pl # E206,Cambridge,MA,02141,42.367104,-71.0766
75,Tisan Coffee Express,1722 Massachusetts Ave,Cambridge,MA,02138,42.384068,-71.11955
76,Tisan Coffee Express,766 Cambridge St # A,Cambridge,MA,02141,42.372257,-71.08952
77,Verna's Donut Shop,2344 Massachusetts Ave,Cambridge,MA,02140,42.39609,-71.128845
78,Voltage Coffee & Art,295 3rd St,Cambridge,MA,02142,42.36528,-71.08267
79,Wu Healing Ctr,740 Cambridge St,Cambridge,MA,02141,42.372208,-71.08914
81,Simon's Coffee Shop,1736 Massachusetts Ave,Cambridge,MA,02138,42.384598,-71.119738
82,Starbucks,699 Mount Auburn Street,Cambridge,MA,02138,42.375159,-71.148877
83,Bourbon Coffee,1815 Massachusetts Ave,Cambridge,MA,02140,42.3873,-71.118901
